Allele;CSF1PO;D10S1248;D12S391;D13S317;D16S539;D18S51;D19S433;D1S1656;D21S11;D22S1045;D2S1338;D2S441;D3S1358;D5S818;D7S820;D8S1179;FGA;SE33;TH01;TPOX;VWA
2.2;;;;;;;;;;;;;;;;;;;;;
3.2;;;;;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;;;;0.001385042;0.00138503853463359;
6;;;;;;;;;;;;;;;;;;;0.235457064;0.00138503853463359;
7;2.49999374751564e-06;;;;;;;;;;;;;0.00277008299722992;0.0277008309722992;;;;0.193905817;2.49999374501565e-06;
8;0.00554015214407949;;;0.120498614879501;0.0180055400180055;;;;;;;;;0.00554016599445983;0.144044320855956;0.013850416;;;0.095567867;0.524929434626555;
8.1;;;;;;;;;;;;;;;0.00138504199861496;;;;;;
9;0.0138503813601962;;;0.0775623269224377;0.106648199106648;;;;;;;0.00138504199584487;;0.0415512469584488;0.16759002783241;0.005540166;;;0.119113573;0.127423504186393;
9.1;;;;;;;;;;;;0.00138504199584487;;;;;;;;;
9.3;;;;;;;;;;;;;;;;;;;0.344875346;;
10;0.220221056227138;;;0.0470914129529086;0.0567867040567867;0.00831022822442944;0.00138503853601862;0.00277008300277008;;2.49998749756252e-06;;0.210526315368421;;0.0554016619445983;0.256232686743767;0.102493075;;;0.008310249;0.0498613712468491;
10.2;;;;;;;2.49999374751564e-06;;;;;;;;;;;;;;
11;0.308863493532403;0.00138504199861496;;0.325484764674515;0.314404432314404;0.00969526676183309;0.00554015214407949;0.0775623270775623;;0.139888497417624;;0.343490303969529;0.00138504199722992;0.355955678644044;0.204986149795014;0.076177285;;0.00138503506651446;0.001385042;0.252076931303518;2.49999374751564e-06
11.3;;;;;;;;;;;;0.0609418278171745;;;;;;;;;
12;0.360109902365134;0.031855955968144;;0.268698060731302;0.314404432314404;0.113573123067192;0.0706369423370072;0.116343490116343;;0.0124653116609764;;0.0470914128587258;;0.387811633612188;0.15927977784072;0.167590028;;0.0069251733325823;;0.0415511430390401;0.00138503853601862
12.2;;;;;;;0.00138503853601862;;;;;;;;;;;;;;
12.3;;;;;;;;;;;;0.00415512498753462;;;;;;;;;
13;0.0817172476251637;0.307479223692521;;0.116343489883656;0.163434903163435;0.123268389829025;0.254847007627634;0.066481994066482;;0.00692517336720799;;0.0290858729127424;0.00138504199722992;0.142659279857341;0.034626038965374;0.329639889;;0.0166204157981985;;0.00138503853463359;0.00138503853601862
13.2;;;;;;;0.00692519068009811;;;;;;;;;;;;;;
14;0.00969526675213785;0.297783933702216;;0.0429362879570637;0.0263157890263158;0.134348694128265;0.361494940901153;0.0789473680789474;;0.0567864200111135;;0.240997229277008;0.106648198786704;0.00692520799307479;0.00415512499584487;0.166204986;;0.0249306231973003;;;0.0927975519133227
14.2;;;;;;0.00138503853740366;0.0235456471123366;;;;;;;;;;;0.00277006913303392;;;
14.3;;;;;;;;0.00277008300277008;;;;;;;;;;;;;
15;;0.196675899803324;0.0318558762965975;0.00138504199861496;;0.170359685100787;0.156509303570232;0.149584488149584;;0.321328033038507;0.00138504199861496;0.0595567868213296;0.272853185454294;0.00138504199861496;;0.103878116;;0.0401660039289843;;;0.1052628947375
15.2;;;;;;;0.0360109899365142;;;;;;;;;;;;;;
15.3;;;;;;;;0.0581717450581717;;;;;;;;;;;;;
15.4;;;;;;;;;;;;;;;;;;;;;
16;;0.132963988867036;0.0221606095541549;;;0.146814036964908;0.0567865619768085;0.135734072135734;;0.382269556269949;0.0373961219626039;0.00138504199584487;0.238227146523546;;;0.033240997;;0.0401660039289843;;;0.200830522722863
16.2;;;;;;0.00138503853740366;0.0152354188962173;;;;;;;;;;;0.00138503506651446;;;
16.3;;;;;;;;0.0609418280609418;;;;;;;;;;;;;
17;;0.0277008309722992;0.127423504186393;;;0.138503808740478;0.00692519068009811;0.0470914130470914;;0.0747918699658583;0.185595567814404;;0.210526315578947;;;0.001385042;;0.0623265579932507;;;0.283932807884047
17.2;;;;;;;0.00138503853601862;;;;;;;;;;;;;;
17.3;;;0.0207755710195213;;;;;0.132963989132964;;;;;;;;;;0.00138503506651446;;;
18;;0.00138504199861496;0.171744722294705;;;0.0775621330946673;;0.00554016600554017;;0.00554013829376839;0.0734072019265928;;0.150969528698061;;;;0.0249306233468833;0.0720218004588669;;;0.202215560258884
18.1;;;2.49999374501565e-06;;;;;;;;;;;;;;;2.49998748506265e-06;;;
18.2;;;;;;;0.00138503853601862;;;;;;;;;;;;;;
18.3;;;0.0249306856234246;;;;;0.0498614960498615;;;;;;;;;;0.00138503506651446;;;
19;;0.00277008299722992;0.124653428117123;;;0.0401661045847385;;;;2.49998749756252e-06;0.120498614879501;;0.016620498966759;;;;0.0498612466937665;0.0720218004588669;;;0.103877856201482
19.2;;;;;;;;;;;;;;;;;2.4999875000625e-06;0.00415510419954838;;;
19.3;;;0.00415511460390326;;;;;0.0152354570152355;;;;;;;;;;;;;
20;;;0.110803046770777;;;0.0180054949862625;;;;;0.15650969484349;;0.00138504199722992;;;;0.123268081659592;0.0581714537937023;;;0.00692519068009811
20.2;;;;;;;;;;;;;;;;;;0.00969524246561622;;;
21;;;0.128808541721029;;;0.00969526676183309;;;;;0.0373961219626039;;;;;;0.178669466652667;0.0249306231973003;;;0.00138503853601862
21.2;;;;;;;;;;;;;;;;;0.0055401382993085;0.0235455881307858;;;
22;;;0.095567627889795;;;0.00692519068702328;;;;;0.034626038965374;;;;;;0.204985125074375;0.0138503466651646;;;
22.2;;;;;;;;;;;;;;;;;0.0124653116734416;0.0373959347959504;;;
23;;;0.0692519047317344;;;2.49999375001562e-06;;;;;0.105263157894737;;;;;;0.152353809230954;0.00277006913303392;;;
23.2;;;;;;;;;;;;;;;;;0.00277006914965425;0.036010899729436;;;
24;;;0.0470912951775795;;;;;;;;0.114958448885042;;;;;;0.134348358258209;0.00138503506651446;;;
24.2;;;;;;;;;;;;;;;;;0.00138503507482463;0.0221605540642664;;;
24.3;;;;;;;;;2.49999374751564e-06;;;;;;;;;;;;
25;;;0.0166204574156155;;;;;;;;0.102493074897507;;;;;;0.0789469732651337;;;;
25.2;;;;;;;;;0.00138503853601862;;;;;;;;;0.0415510389954988;;;
26;;;0.00277007606926967;;;;;;;;0.0304709139695291;;;;;;0.0263156574217129;;;;
26.2;;;;;;;;;;;;;;;;;;0.0415510389954988;;;
27;;;0.00138503853463359;;;;;;0.0221606095763154;;;;;;;;0.00415510422447888;;;;
27.2;;;;;;;;;;;;;;;;;;0.0941823535231383;;;
28;;;;;;;;;0.159279379642272;;;;;;;;2.4999875000625e-06;;;;
28.2;;;;;;;;;;;;;;;;;;0.0761769036584203;;;
28.3;;;;;;;;;;;;;;;;;;0.00138503506651446;;;
29;;;;;;;;;0.202215560258884;;;;;;;;;;;;
29.2;;;;;;;;;0.00277007607203974;;;;;;;;;0.0554013846606684;;;
30;;;;;;;;;0.282547769348029;;;;;;;;;2.49998748506265e-06;;;
30.2;;;;;;;;;0.0290858002564136;;;;;;;;;0.0567864197271828;;;
31;;;;;;;;;0.0720219808730258;;;;;;;;;0.00277006913303392;;;
31.2;;;;;;;;;0.0983377040574022;;;;;;;;;0.0235455881307858;;;
32;;;;;;;;;0.00554015214407949;;;;;;;;;0.00138503506651446;;;
32.2;;;;;;;;;0.0900274758412829;;;;;;;;;0.0124653115986501;;;
33;;;;;;;;;0.00138503853601862;;;;;;;;;0.00138503506651446;;;
33.2;;;;;;;;;0.0263157231843763;;;;;;;;;0.00415510419954838;;;
34;;;;;;;;;;;;;;;;;;0.00831020739910176;;;
34.2;;;;;;;;;0.00415511460805837;;;;;;;;;0.00138503506651446;;;
35;;;;;;;;;0.00138503853601862;;;;;;;;;;;;
36;;;;;;;;;0.00138503853601862;;;;;;;;;;;;
