Allele;AMEL;D3S1358;TH01;D21S11;D18S51;D10S1248;D1S1656;D2S1338;D16S539;D22S1045;VWA;D8S1179;FGA;D2S441;D12S391;D19S433;SE33
X;0.5;;;;;;;;;;;;;;;;
Y;0.5;;;;;;;;;;;;;;;;
5;;;0.002598441;;;;;;;;;;;;;;
6;;;0.209274435;;;;;;0.000899281;;;;;;;;
6.3;;;;;;;;;;;;;;;;;
7;;;0.212472516;;0.000898473;;;;;;;;;;;;
8;;;0.08364981;;;;;;0.008693046;;;0.011302257;;;;;
8.2;;;;;;;;;;;;;;;;;0.002506945
9;;;0.140915451;;0.000998303;;;;0.134492406;;;0.009201837;;;;;
9.1;;;;;;;;;;;;;;;;;
9.3;;;0.344293424;;;;;;;;;;;;;;
10;;0.000898652;0.005896462;;0.010582011;;0.002;;0.052158273;;;0.096419251;;0.172897;;;
10.1;;;;;;;;;;;;;;;;;
11;;0.005591613;0.00089946;;0.006389138;0.004673005;0.077;;0.316446843;0.154213618;;0.076915357;;0.397196;;;
11.1;;;;;;;;;;;;;;;;;
11.3;;;;;;;;;;;;;;0.037383;;;
11.4;;;;;;;;;;;;;;;;;
12;;;;;0.132075472;0.028037028;0.148;;0.273681055;0.018692923;0.000898473;0.140027958;;0.03271;;0.074766;0.006556626
13;;0.003295057;;;0.1278826;0.285047285;0.045;;0.180755396;0.004673231;0.000898473;0.337267339;;0.018692;;0.242991;0.006556626
13.1;;;;;;;;;;;;;;0.004673;;;
13.2;;;;;;;;;;;;;;;;0.009346;0.002506945
13.4;;;;;;;;;;;;;;;;;
14;;0.124113829;;;0.181291804;0.303738304;0.075;;0.030075939;0.042007675;0.092243187;0.202140359;;0.294393;;0.327103;0.032590289
14.1;;;;;;;;;;;;;;;;;
14.2;;;;;;;;;;;;;;;;0.014019;0.002506945
15;;0.27099351;;;0.139862234;0.21962622;0.133;;0.002797762;0.294407544;0.075471698;0.09911979;;0.03271;0.041824716;0.205607;0.03557934
15.2;;;;;;;;;;;;;;;;0.023364;0.002506945
15.3;;;;;;;0.07;;;;;;;;;;0.002506945
16;;0.231552671;;;0.116102626;0.116822117;0.113;0.037383037;;0.397215622;0.218428671;0.025905172;;0.009346;0.023457776;0.060748;0.047149856
16.1;;;;;;;;;;;;;;;;;0.002506945
16.2;;;;;;;;;;;;;;;;0.028037;0.002506945
16.3;;;;;;;0.065;;;;;;;;0.000898383;;0.002506945
17;;0.202695956;;;0.097134871;0.042056042;0.04;0.233645234;;0.079442924;0.294599181;0.00170068;0.00089695;;0.129466959;0.009346;0.050138907
17.2;;;;;;;;;;;;;;;;0.004673;
17.3;;;;;;;0.153;;;;;;;;0.014374127;;0.002506945
18;;0.140988517;;;0.084955576;;0.002;0.079439079;;0.009346462;0.20425277;;0.024815627;;0.177380715;;0.062191528
18.3;;;;;0.000898473;;0.07;;;;;;;;0.010481134;;
19;;0.017373939;;;0.062593591;;;0.107477107;;;0.08984726;;0.060394658;;0.114493911;;0.0772332
19.2;;;;;;;;;;;;;0.00089695;;;;0.002506945
19.3;;;;;;;0.007;;;;;;;;0.006787782;;0.002506945
20;;0.001597604;;;0.021363682;;;0.163551164;;;0.018967755;;0.160354794;;0.112297864;;0.03663997
20.2;;;;;;;;;;;;;0.00089695;;;;0.008002941
20.3;;;;;;;;;;;;;;;0.000898383;;
21;;0.000898652;;;0.00708795;;;0.028037028;;;0.002595588;;0.169124975;;0.098123378;;0.019573458
21.1;;;;;;;;;;;;;;;;;0.002506945
21.2;;;;;;;;;;;;;0.002391868;;;;0.022080403
22;;;;;0.004991514;;;0.028037028;;;0.000898473;;0.167630058;;0.113795169;;0.010991991
22.1;;;;;;;;;;;;;;;;;0.002506945
22.2;;;;;;;;;;;;;0.00867052;;;;0.022080403
23;;;;;0.001397624;;;0.088785089;;;;;0.138329679;;0.089239369;;0.002506945
23.2;;;;;;;;;;;;;0.00607933;;;;0.03365092
24;;;;;0.001697115;;;0.098131098;;;0.000898473;;0.133745266;;0.042623278;;0.002506945
24.2;;;;0.000897308;;;;;;;;;0.000996612;;;;0.035097235
25;;;;0.000897308;0.000898473;;;0.121495121;;;;;0.084114012;;0.01547215;;
25.2;;;;0.000897308;;;;;;;;;0.00089695;;;;0.042135966
26;;;;0.003090728;;;;0.014019014;;;;;0.030197329;;0.006588141;;0.002506945
26.2;;;;0.000897308;;;;;;;;;0.00089695;;;;0.046667752
27;;;;0.035194417;0.000898473;;;;;;;;0.00607933;;0.000898383;;
27.2;;;;;;;;;;;;;;;;;0.083789827
28;;;;0.174077767;;;;;;;;;0.00169424;;0.000898383;;0.002506945
28.2;;;;;;;;;;;;;;;;;0.084271932
29;;;;0.228115653;;;;;;;;;0.00089695;;;;
29.2;;;;0.000897308;;;;;;;;;;;;;0.079258041
29.3;;;;0.000897308;;;;;;;;;;;;;
30;;;;0.250947159;;;;;;;;;;;;;
30.2;;;;0.0333001;;;;;;;;;;;;;0.052163747
31;;;;0.083449651;;;;;;;;;;;;;0.002506945
31.2;;;;0.071385842;;;;;;;;;;;;;0.028637029
32;;;;0.013858425;;;;;;;;;;;;;
32.2;;;;0.07328016;;;;;;;;;;;;;0.010509886
33;;;;0.001395813;;;;;;;;;;;;;0.00298905
33.2;;;;0.024127617;;;;;;;;;;;;;0.00298905
34;;;;;;;;;;;;;;;;;0.002506945
34.2;;;;0.002392822;;;;;;;;;;;;;0.002506945
35;;;;;;;;;;;;;;;;;0.002506945
35.2;;;;;;;;;;;;;;;;;0.002506945
36;;;;;;;;;;;;;;;;;0.002506945
37;;;;;;;;;;;;;;;;;0.002814283
